TÀI SẢN,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,,,,,,,,,,,,,,
3. Tài sản cố định vô hình,"2,084,683,000,000","2,110,268,000,000","2,176,339,000,000","2,261,271,000,000","2,266,049,000,000","2,314,030,000,000","2,317,316,000,000","3,128,223,000,000","3,040,560,000,000","2,954,672,000,000","2,900,759,000,000","3,073,419,000,000","2,958,770,000,000","2,853,572,000,000","2,760,412,000,000","2,815,318,000,000","2,716,375,000,000","2,680,282,000,000","2,629,318,000,000","2,592,569,000,000","2,542,205,000,000",,"2,559,650,000,000","2,562,298,000,000"
- Nguyên giá,"2,802,497,000,000","2,851,029,000,000","2,936,192,000,000","3,050,668,000,000","3,080,303,000,000","3,161,694,000,000","3,206,724,000,000","4,211,880,000,000","4,211,425,000,000","4,213,943,000,000","4,256,512,000,000","4,622,229,000,000","4,620,978,000,000","4,617,993,000,000","4,624,053,000,000","4,789,089,000,000","4,791,697,000,000","4,864,567,000,000","4,881,586,000,000","4,906,881,000,000","4,907,455,000,000",,"5,027,780,000,000","5,072,735,000,000"
- Giá trị hao mòn lũy kế,"-717,814,000,000","-740,761,000,000","-759,853,000,000","-789,397,000,000","-814,254,000,000","-847,664,000,000","-889,408,000,000","-1,083,657,000,000","-1,170,865,000,000","-1,259,271,000,000","-1,355,753,000,000","-1,548,810,000,000","-1,662,208,000,000","-1,764,421,000,000","-1,863,641,000,000","-1,973,771,000,000","-2,075,322,000,000","-2,184,285,000,000","-2,252,268,000,000","-2,314,312,000,000","-2,365,250,000,000",,"-2,468,130,000,000","-2,510,437,000,000"
III. Bất động sản đầu tư,,,,,,,,,,,,,,,,,,,,,,,,
- Nguyên giá,,,,,,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn lũy kế,,,,,,,,,,,,,,,,,,,,,,,,
IV. Tài sản dở dang dài hạn,,,,,,,,,,,,,,,,,,,,,,,,
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",,,,,,,,,,,,,,,,,,,,,,,,
2. Chi phí xây dựng cơ bản dở dang,,,,,,,,,,,,,,,,,,,,,,,,
V. Đầu tư tài chính dài hạn,"23,681,852,000,000","25,961,736,000,000","20,034,561,000,000","23,909,398,000,000","20,269,427,000,000","20,386,537,000,000","24,189,798,000,000","21,446,532,000,000","24,267,237,000,000","22,569,946,000,000","24,421,565,000,000","29,431,813,000,000","30,322,961,000,000","30,898,953,000,000","36,489,081,000,000","61,396,906,000,000","28,402,412,000,000","37,008,578,000,000","26,060,888,000,000","31,113,676,000,000","26,919,513,000,000",,"38,091,419,000,000","30,861,694,000,000"
1. Đầu tư vào công ty con,"6,495,706,000,000","13,784,125,000,000","9,750,429,000,000","11,245,771,000,000","9,272,066,000,000","10,770,768,000,000","8,220,432,000,000","9,200,890,000,000","8,546,642,000,000","10,176,777,000,000","11,781,220,000,000","16,258,514,000,000","18,941,095,000,000","18,467,522,000,000","24,545,840,000,000","24,932,725,000,000","15,382,146,000,000","24,959,159,000,000","13,759,078,000,000","12,586,717,000,000","14,118,764,000,000",,"13,507,994,000,000","14,502,667,000,000"
"2. Đầu tư vào công ty liên kết, liên doanh","7,964,540,000,000","7,531,372,000,000","8,352,322,000,000","8,150,282,000,000","8,572,014,000,000","6,871,821,000,000","7,931,109,000,000","7,205,739,000,000","8,421,916,000,000","6,187,719,000,000","7,019,743,000,000","7,149,695,000,000","8,216,704,000,000","7,156,290,000,000","8,044,556,000,000","9,209,121,000,000","10,053,102,000,000","8,954,322,000,000","8,999,624,000,000","9,200,023,000,000","9,755,449,000,000",,"8,627,164,000,000","8,865,278,000,000"
3. Đầu tư góp vốn vào đơn vị khác,"5,909,000,000","6,070,000,000","5,980,000,000","5,405,000,000","408,138,000,000","406,821,000,000","6,048,000,000","7,154,000,000","909,571,000,000","909,211,000,000","909,265,000,000","7,137,000,000","10,798,000,000","7,927,000,000","5,782,000,000","927,450,000,000","953,984,000,000","953,110,000,000","952,084,000,000","848,269,000,000","849,600,000,000",,"850,098,000,000","991,746,000,000"
4. Dự phòng đầu tư tài chính dài hạn,"9,219,219,000,000","464,386,000,000","1,929,349,000,000","4,511,734,000,000","2,022,882,000,000",,,"5,036,638,000,000","6,393,042,000,000","5,300,259,000,000","4,715,357,000,000","6,020,487,000,000","3,158,305,000,000","5,272,656,000,000","3,898,300,000,000","26,331,539,000,000","2,025,613,000,000","2,154,222,000,000","2,362,550,000,000","8,494,130,000,000","2,211,150,000,000",,"15,116,371,000,000","6,516,040,000,000"
5. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,,,,,,,,
VI. Tài sản dài hạn khác,,,,,,,,,,,,,,,,,,,,,,,,
1. Chi phí trả trước dài hạn,,,,,,,,,,,,,,,,,,,,,,,,
2. Tài sản thuế thu nhập hoãn lại,,,,,,,,,,,,,,,,,,,,,,,,
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",,,,,,,,,,,,,,,,,,,,,,,,
4. Tài sản dài hạn khác,,,,,,,,,,,,,,,,,,,,,,,,
5. Lợi thế thương mại,,,,,,,,,,,,,,,,,,,,,,,,
TỔNG CỘNG TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,
