Date,Open,High,Low,Close,Volume
2020-10-20,6700.0,6950.0,6600.0,6800.0,211310
2020-10-21,6900.0,6900.0,6700.0,6800.0,231490
2020-10-22,6710.0,6850.0,6710.0,6790.0,151680
2020-10-23,6790.0,7060.0,6790.0,7060.0,890300
2020-10-26,7060.0,7200.0,6850.0,6850.0,461090
2020-10-27,6850.0,7050.0,6750.0,6780.0,428760
2020-10-28,6500.0,6900.0,6500.0,6650.0,620790
2020-10-29,6610.0,6900.0,6610.0,6670.0,511880
2020-10-30,6670.0,6790.0,6610.0,6640.0,601120
2020-11-02,6640.0,6790.0,6600.0,6690.0,326500
2020-11-03,6790.0,6850.0,6690.0,6810.0,431410
2020-11-04,6810.0,7000.0,6760.0,6950.0,565150
2020-11-05,6990.0,6990.0,6840.0,6880.0,239580
2020-11-06,6900.0,7050.0,6880.0,7050.0,556830
2020-11-09,7050.0,7100.0,6990.0,7060.0,500060
2020-11-10,7150.0,7150.0,6710.0,6910.0,261320
2020-11-11,6980.0,6980.0,6800.0,6810.0,452270
2020-11-12,6810.0,6920.0,6810.0,6900.0,473800
2020-11-13,7000.0,7000.0,6860.0,6890.0,47990
2020-11-16,6890.0,6950.0,6800.0,6800.0,474220
2020-11-17,6800.0,6990.0,6720.0,6800.0,559680
2020-11-18,6810.0,6890.0,6800.0,6840.0,547080
2020-11-19,6800.0,7100.0,6800.0,6970.0,708930
2020-11-20,6990.0,6990.0,6900.0,6950.0,357190
2020-11-23,6990.0,7030.0,6900.0,6990.0,436570
2020-11-24,6990.0,6990.0,6940.0,6980.0,471420
2020-11-25,6900.0,7000.0,6900.0,6960.0,281850
2020-11-27,6950.0,6980.0,6940.0,6960.0,249800
2020-11-30,6970.0,7440.0,6950.0,7440.0,1197240
2020-12-01,7500.0,7920.0,7450.0,7690.0,1007040
2020-12-02,7740.0,7790.0,7200.0,7500.0,506050
2020-12-03,7390.0,7470.0,7350.0,7410.0,687480
2020-12-04,7410.0,7600.0,7410.0,7600.0,837040
2020-12-07,7600.0,7940.0,7600.0,7910.0,1312200
2020-12-08,8000.0,8010.0,7850.0,7880.0,621130
2020-12-09,7880.0,7990.0,7880.0,7900.0,970380
2020-12-10,7900.0,7940.0,7710.0,7760.0,779130
2020-12-11,7760.0,7900.0,7600.0,7800.0,550680
2020-12-14,7800.0,7880.0,7720.0,7750.0,531610
2020-12-15,7750.0,7980.0,7750.0,7970.0,997850
2020-12-16,8300.0,8520.0,8300.0,8520.0,1442870
2020-12-17,9090.0,9110.0,8900.0,9110.0,1717860
2020-12-18,9110.0,9400.0,9050.0,9060.0,1518540
2020-12-21,9000.0,9400.0,8630.0,9060.0,1287870
2020-12-22,8860.0,9690.0,8860.0,9690.0,1970030
2020-12-23,10350.0,10350.0,9800.0,9970.0,1902630
2020-12-24,9990.0,10000.0,9280.0,9450.0,1246720
2020-12-28,10000.0,10000.0,9360.0,9480.0,1376990
2020-12-29,9500.0,9780.0,9400.0,9540.0,1019760
2020-12-30,9600.0,9980.0,9400.0,9700.0,1517730
2020-12-31,9700.0,9850.0,9700.0,9730.0,888930
2021-01-04,9750.0,9950.0,9700.0,9800.0,102670
2021-01-05,9800.0,10450.0,9700.0,10450.0,272260
2021-01-06,11100.0,11100.0,10400.0,10800.0,164680
2021-01-07,10500.0,10900.0,10300.0,10650.0,130250
2021-01-08,10600.0,10650.0,10300.0,10450.0,107940
2021-01-11,10400.0,10500.0,10200.0,10500.0,94360
2021-01-12,10600.0,10600.0,10300.0,10350.0,66490
2021-01-13,10450.0,11050.0,10400.0,11000.0,194270
2021-01-14,11400.0,11400.0,10800.0,11000.0,72510
2021-01-15,11000.0,11200.0,10800.0,10900.0,49000
2021-01-19,12400.0,12450.0,10850.0,11600.0,142890
2021-01-20,11700.0,12100.0,10850.0,11850.0,112070
2021-01-21,12400.0,12400.0,11800.0,12050.0,89980
2021-01-22,12400.0,12400.0,11850.0,11900.0,64320
2021-01-25,11300.0,11900.0,11250.0,11300.0,89080
2021-01-26,11000.0,11100.0,10550.0,10600.0,76620
2021-01-27,10150.0,10300.0,9860.0,9860.0,95340
2021-01-28,9170.0,9500.0,9170.0,9170.0,67840
2021-01-29,8530.0,9590.0,8530.0,9300.0,44370
2021-02-01,9300.0,9310.0,8660.0,8660.0,72440
2021-02-02,8560.0,8700.0,8080.0,8600.0,77630
2021-02-03,8600.0,9200.0,8200.0,9100.0,139630
2021-02-04,9200.0,9200.0,9000.0,9000.0,18040
2021-02-05,9400.0,9400.0,8850.0,8920.0,102430
2021-02-08,8920.0,9300.0,8800.0,8890.0,38300
2021-02-09,8890.0,8890.0,8890.0,8890.0,0
2021-02-10,8890.0,8890.0,8890.0,8890.0,0
2021-02-11,8890.0,8890.0,8890.0,8890.0,0
2021-02-12,8890.0,8890.0,8890.0,8890.0,0
2021-02-16,8890.0,8890.0,8890.0,8890.0,0
2021-02-17,9380.0,9860.0,9000.0,9860.0,78450
2021-02-18,9860.0,9900.0,9640.0,9840.0,61910
2021-02-19,9800.0,9840.0,9610.0,9770.0,101060
2021-02-22,10000.0,10000.0,9700.0,9820.0,59920
2021-02-23,9820.0,9820.0,9610.0,9800.0,47060
2021-02-24,9800.0,9800.0,9800.0,9800.0,0
2021-02-25,9800.0,9800.0,9800.0,9800.0,0
2021-02-26,9220.0,9410.0,9220.0,9320.0,13160
2021-03-01,9200.0,9700.0,9190.0,9680.0,101610
2021-03-02,9850.0,9850.0,9580.0,9720.0,65300
2021-03-03,9700.0,10100.0,9600.0,10100.0,70690
2021-03-04,10300.0,10300.0,9600.0,9750.0,71910
2021-03-05,9750.0,10100.0,9550.0,10100.0,65360
2021-03-08,10200.0,10800.0,10100.0,10800.0,162490
2021-03-09,10900.0,11500.0,10800.0,11250.0,153830
2021-03-10,11500.0,11500.0,11000.0,11250.0,80180
2021-03-11,11300.0,11300.0,10900.0,11050.0,68650
2021-03-12,11000.0,11500.0,11000.0,11250.0,94590
2021-03-15,11350.0,11400.0,11050.0,11100.0,63630
2021-03-16,11100.0,11300.0,10600.0,11100.0,65840
2021-03-17,11000.0,11100.0,10900.0,11100.0,49960
2021-03-18,11100.0,11150.0,10950.0,11050.0,78180
2021-03-19,11000.0,11800.0,10950.0,11650.0,133380
2021-03-22,11650.0,11800.0,11350.0,11450.0,55510
2021-03-23,11300.0,11500.0,11000.0,11200.0,90350
2021-03-24,10800.0,11150.0,10500.0,10550.0,57310
2021-03-25,10550.0,10600.0,10000.0,10400.0,81680
2021-03-26,10100.0,10400.0,9800.0,10200.0,78630
2021-03-29,10200.0,10900.0,10200.0,10900.0,85700
2021-03-30,11200.0,11200.0,10800.0,10900.0,30470
2021-03-31,10800.0,10900.0,10600.0,10750.0,47010
2021-04-01,10750.0,10800.0,10400.0,10800.0,29660
2021-04-05,11000.0,11150.0,10800.0,10800.0,48770
2021-04-06,10800.0,10950.0,10800.0,10800.0,21080
2021-04-07,10600.0,10850.0,10600.0,10800.0,68150
2021-04-08,10800.0,11000.0,10750.0,10850.0,31370
2021-04-09,11000.0,11000.0,10750.0,10900.0,34570
2021-04-12,10900.0,11200.0,10800.0,11000.0,96120
2021-04-13,11400.0,11550.0,11000.0,11250.0,123180
2021-04-14,11200.0,11250.0,11000.0,11100.0,88810
2021-04-15,11250.0,11300.0,10900.0,10900.0,39490
2021-04-16,10900.0,11000.0,10350.0,10400.0,63610
2021-04-19,10600.0,10600.0,10000.0,10250.0,62360
2021-04-20,10300.0,10400.0,10100.0,10250.0,27410
2021-04-21,10250.0,10250.0,10250.0,10250.0,0
2021-04-22,10050.0,10250.0,9700.0,9800.0,34870
2021-04-23,9550.0,10000.0,9500.0,10000.0,74730
2021-04-26,10000.0,10000.0,9500.0,9510.0,30370
2021-04-27,9510.0,10000.0,9500.0,9780.0,13740
2021-04-28,9610.0,9950.0,9610.0,9860.0,32440
2021-04-29,10000.0,10550.0,10000.0,10300.0,68580
2021-04-30,10300.0,10300.0,10300.0,10300.0,0
2021-05-03,10300.0,10300.0,10300.0,10300.0,0
2021-05-04,9860.0,10100.0,9860.0,10100.0,16530
2021-05-05,10000.0,10250.0,9990.0,10200.0,11630
2021-05-06,10000.0,10150.0,9950.0,9990.0,54650
2021-05-07,9900.0,10100.0,9510.0,9620.0,83020
2021-05-10,9510.0,9700.0,9000.0,9330.0,71300
2021-05-11,9330.0,9690.0,9330.0,9470.0,32270
2021-05-12,9250.0,9900.0,9250.0,9600.0,32500
2021-05-13,9600.0,9600.0,9470.0,9500.0,55710
2021-05-14,9500.0,9600.0,9430.0,9500.0,66670
2021-05-17,9800.0,9800.0,9360.0,9370.0,50280
2021-05-18,9370.0,9400.0,9200.0,9200.0,17470
2021-05-19,9200.0,9240.0,9010.0,9100.0,17720
2021-05-20,9100.0,9300.0,9060.0,9190.0,37470
2021-05-21,9190.0,9400.0,9000.0,9200.0,54870
2021-05-24,9200.0,9500.0,9200.0,9300.0,40150
2021-05-25,9400.0,9400.0,9220.0,9300.0,24230
2021-05-26,9300.0,9300.0,9050.0,9090.0,16640
2021-05-27,9050.0,9130.0,8810.0,8850.0,28610
2021-05-28,8850.0,9200.0,8750.0,9000.0,68180
2021-06-01,9300.0,9300.0,9160.0,9160.0,13330
2021-06-02,9110.0,9290.0,9000.0,9280.0,11340
2021-06-03,9350.0,9500.0,9000.0,9280.0,34680
2021-06-04,9140.0,9280.0,9130.0,9160.0,16100
2021-06-07,9350.0,9400.0,9220.0,9350.0,553300
2021-06-08,9350.0,9350.0,9350.0,9350.0,0
2021-06-09,9340.0,9700.0,9150.0,9700.0,320000
2021-06-10,9700.0,9710.0,9400.0,9480.0,487800
2021-06-11,9450.0,9550.0,9360.0,9530.0,393000
2021-06-14,9500.0,9580.0,9300.0,9500.0,489200
2021-06-15,9380.0,9570.0,9370.0,9430.0,338700
2021-06-16,9500.0,9700.0,9300.0,9670.0,714000
2021-06-17,9680.0,9680.0,9550.0,9600.0,152700
2021-06-18,9650.0,10250.0,9650.0,10250.0,1430600
2021-06-21,10500.0,10900.0,10250.0,10650.0,1547700
2021-06-22,10750.0,10750.0,10400.0,10500.0,1102700
2021-06-29,11400.0,11400.0,10700.0,11150.0,2091200
2021-06-30,11150.0,11250.0,10800.0,10900.0,771300
2021-07-01,10750.0,11200.0,10700.0,11000.0,594500
2021-07-02,11000.0,11000.0,10700.0,10750.0,1059600
