Date,Open,High,Low,Close,Adj Close,Volume
2024-06-20,4620.0,4620.0,4560.0,4570.0,,728800.0
2024-06-23,4600.0,4630.0,4450.0,4460.0,,983900.0
2024-06-24,4480.0,4550.0,4480.0,4510.0,,570000.0
2024-06-25,4500.0,4550.0,4490.0,4490.0,,416200.0
2024-06-26,4500.0,4500.0,4460.0,4480.0,,332800.0
2024-06-27,4490.0,4510.0,4460.0,4460.0,,495900.0
2024-06-30,4540.0,4540.0,4450.0,4460.0,,362200.0
2024-07-01,4470.0,4570.0,4450.0,4560.0,,266100.0
2024-07-02,4580.0,4590.0,4530.0,4540.0,,232200.0
2024-07-03,4560.0,4560.0,4490.0,4490.0,,421600.0
2024-07-04,4480.0,4500.0,4450.0,4460.0,,453700.0
2024-07-07,4490.0,4500.0,4450.0,4470.0,,448200.0
2024-07-08,4470.0,4490.0,4450.0,4480.0,,281500.0
2024-07-09,4500.0,4510.0,4480.0,4490.0,,240900.0
2024-07-10,4500.0,4530.0,4490.0,4530.0,,319100.0
2024-07-11,4500.0,4540.0,4500.0,4520.0,,391100.0
2024-07-14,4510.0,4530.0,4500.0,4500.0,,303300.0
2024-07-15,4510.0,4640.0,4500.0,4550.0,,887400.0
2024-07-16,4600.0,4600.0,4450.0,4450.0,,726800.0
2024-07-17,4510.0,4560.0,4460.0,4560.0,,801800.0
2024-07-18,4560.0,4560.0,4470.0,4500.0,,343700.0
2024-07-21,4500.0,4500.0,4370.0,4410.0,,772900.0
2024-07-22,4380.0,4430.0,4350.0,4380.0,,488500.0
2024-07-23,4300.0,4420.0,4300.0,4420.0,,471500.0
2024-07-24,4380.0,4390.0,4280.0,4320.0,,632800.0
2024-07-25,4360.0,4370.0,4330.0,4360.0,,243100.0
2024-07-28,4360.0,4370.0,4260.0,4300.0,,497700.0
2024-07-29,4350.0,4350.0,4300.0,4330.0,,391600.0
2024-07-30,4380.0,4530.0,4380.0,4390.0,,629400.0
2024-07-31,4390.0,4450.0,4260.0,4280.0,,510700.0
2024-08-01,4280.0,4280.0,4240.0,4280.0,,513100.0
2024-08-04,4240.0,4280.0,4050.0,4140.0,,1079200.0
2024-08-05,4140.0,4200.0,4100.0,4160.0,,562900.0
2024-08-06,4270.0,4270.0,4180.0,4210.0,,189200.0
2024-08-07,4200.0,4230.0,4160.0,4220.0,,239600.0
2024-08-08,4230.0,4250.0,4180.0,4250.0,,522200.0
2024-08-11,4210.0,4250.0,4190.0,4240.0,,284100.0
2024-08-12,4240.0,4240.0,4190.0,4190.0,,207100.0
2024-08-13,4200.0,4220.0,4180.0,4200.0,,276600.0
2024-08-14,4190.0,4240.0,4180.0,4200.0,,206600.0
2024-08-15,4200.0,4330.0,4190.0,4320.0,,491400.0
2024-08-18,4310.0,4350.0,4300.0,4310.0,,383300.0
2024-08-19,4310.0,4380.0,4300.0,4340.0,,432300.0
2024-08-20,4300.0,4350.0,4300.0,4330.0,,246000.0
2024-08-21,4330.0,4400.0,4300.0,4360.0,,288800.0
2024-08-22,4360.0,4480.0,4350.0,4380.0,,666700.0
2024-08-25,4380.0,4480.0,4350.0,4380.0,,265100.0
2024-08-27,4340.0,4360.0,4290.0,4320.0,,319000.0
2024-08-28,4310.0,4340.0,4250.0,4300.0,,767600.0
2024-08-29,4300.0,4300.0,4200.0,4220.0,,839400.0
2024-09-03,4200.0,4230.0,4150.0,4220.0,,862100.0
2024-09-04,4220.0,4270.0,4200.0,4250.0,,213500.0
