,company_id,quarter,P,EPS,D/E,SIZE
3986,SAM,2005-10-01,-0.5796418379632686,-0.09246716034596246,-0.19466940299177835,-0.5473089712462686
3987,SAM,2007-04-01,-0.5792262855112622,-0.0924671933306842,-0.30142010754983745,0.22501489439027453
3988,SAM,2009-01-01,-0.5797041310822191,-0.09246721549544829,-0.3514928057816254,0.13301972846896903
3989,SAM,2009-04-01,-0.5795905649672332,-0.09246711936739137,-0.3514928057816254,0.13301972846896903
3990,SAM,2009-07-01,-0.579256564446601,-0.09246718945487847,-0.3514928057816254,0.13301972846896903
3991,SAM,2010-01-01,-0.5787497350588838,-0.09246720717861513,-0.35916379281213195,0.12096846634275925
3992,SAM,2010-04-01,-0.5782158739027095,-0.09246719320956528,-0.35916379281213195,0.12096846634275925
3993,SAM,2010-07-01,-0.5779729628222775,-0.09246719252322468,-0.35916379281213195,0.12096846634275925
3994,SAM,2010-10-01,-0.5774720769232865,-0.09246723281545517,-0.35916379281213195,0.12096846634275925
3995,SAM,2011-07-01,-0.5773404848916793,-0.0924672236911625,-0.33216927144761377,0.12778578130305898
3996,SAM,2011-10-01,-0.5768731342776222,-0.09246724755159158,-0.33216927144761377,0.12778578130305898
3997,SAM,2012-01-01,-0.5766435204310395,-0.09246721234635612,-0.33310416319859565,0.15545564940533976
3998,SAM,2012-04-01,-0.5764060176069978,-0.09246719296732742,-0.33310416319859565,0.15545564940533976
3999,SAM,2012-07-01,-0.5762959443434975,-0.09246723116016314,-0.33310416319859565,0.15545564940533976
4000,SAM,2012-10-01,-0.5760640263743176,-0.09246722558869239,-0.33310416319859565,0.15545564940533976
4001,SAM,2013-01-01,-0.5747416433140362,-0.09246721351717244,-0.32147324950199807,0.20528698549700242
4002,SAM,2013-04-01,-0.5743483745778649,-0.09246721464761577,-0.32147324950199807,0.20528698549700242
4003,SAM,2013-07-01,-0.5724273780827345,-0.09246721816006473,-0.32147324950199807,0.20528698549700242
4004,SAM,2013-10-01,-0.5711006519763611,-0.09246721218486421,-0.32147324950199807,0.20528698549700242
4005,SAM,2014-01-01,-0.5715843013266753,-0.092467219411627,-0.28801827057581303,0.2556889281084083
4006,SAM,2014-04-01,-0.5715865524617522,-0.09246722017871355,-0.28801827057581303,0.2556889281084083
4007,SAM,2014-07-01,-0.571748659730587,-0.09246722195512451,-0.28801827057581303,0.2556889281084083
4008,SAM,2015-04-01,-0.5704192007525289,-0.09246721884640532,-0.26831940345407884,0.2744994902079586
4009,SAM,2016-01-01,-0.5734051722126726,-0.09246722461974095,-0.27754967596230984,0.27046869218141106
4010,SAM,2016-04-01,-0.5742181349210573,-0.09246721081218301,-0.27178314119458136,0.29353202947233525
4011,SAM,2016-07-01,-0.5737194363357673,-0.09246723002971981,-0.23491272079260253,0.3386839569511504
